device,protocol_ver,protocol_comm,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10
AC2A,2,bt,@ruanmed,,,,,,,,,
AC2P,2,bt,@atiweb,,,,,,,,,
AC50B,2,bt,@goetzc,,,,,,,,,
AC60,2,bt,@mzpwr,,,,,,,,,
AC60P,2,bt,@mzpwr,,,,,,,,,
AC70,2,bt,@Patrick762,,,,,,,,,
AC70P,2,bt,@matthewpucc,,,,,,,,,
AC180,2,bt,@Patrick762,,,,,,,,,
AC180P,2,bt,@Patrick762,,,,,,,,,
AC180T,2,bt,@10der,,,,,,,,,
AC200L,1,bt,bluetti-mqtt,@seaburger,,,,,,,,
AC200M,1,bt,bluetti-mqtt,,,,,,,,,
AC200PL,1,bt,@0x4E4448,,,,,,,,,
AC300,1,bt,bluetti-mqtt,,,,,,,,,
AC500,1,bt,bluetti-mqtt,,,,,,,,,
AP300,2,bt,@seaburger,@sidieje,,,,,,,,
EB3A,1,bt,@Patrick762,,,,,,,,,
EL10,2,bt,@sidieje,,,,,,,,,
EL30V2,2,bt,@dgudim,@x3ccd4828,,,,,,,,
EL100V2,2,bt,@seaburger,@lesolas20,,,,,,,,
EP500,1,bt,bluetti-mqtt,,,,,,,,,
EP500P,1,bt,bluetti-mqtt,,,,,,,,,
EP600,2,bt,@Patrick762,,,,,,,,,
EP760,2,bt,@Apfuntimes,,,,,,,,,
EP800,2,bt,@jhagenk,,,,,,,,,
EP2000,2,bt,@SelfmadestromDE,@Patrick762,,,,,,,,
Handsfree1,2,bt,@Patrick762,,,,,,,,,
Handsfree2,2,bt,@pablogiaccaglia,,,,,,,,,
PR30V2,2,bt,@gentoo90,,,,,,,,,
PR100V2,2,bt,@radkomoder,,,,,,,,,
