device,protocol_ver,protocol_comm,ac_1_o_c,ac_1_o_p,ac_1_o_v,ac_2_o_c,ac_2_o_p,ac_2_o_v,ac_3_o_c,ac_3_o_p,ac_3_o_v,ac_eco_mode,ac_eco_switch,ac_i_f,ac_1_i_c,ac_1_i_p,ac_1_i_v,ac_2_i_c,ac_2_i_p,ac_2_i_v,ac_3_i_c,ac_3_i_p,ac_3_i_v,ac_i_p_total,ac_o_e_total,ac_o_f,ac_o_mode,ac_o_p_total,ac_o_switch,ac_power_lifting_switch,ac_ups_mode,b_c,b_c_total,b_cell_count,b_cycle_count,b_i_e,b_ntc_count,b_o_e,b_soc,b_soc_high,b_soc_low,b_soc_total,b_soh,b_soh_total,b_t_avg,b_type,b_v,b_v_total,b_ver_bms,d_charging_mode,d_display_mode,d_i_e_total,d_inverter_fault,d_inverter_status,d_inverter_total,d_inverter_type,d_inverter_warning,d_led_mode,d_num_battery_packs,d_num_inverters,d_power_off,d_serial,d_split_phase_switch,d_split_phase_mode,d_time_remaining,d_ver_arm,d_ver_dsp,dc_eco_mode,dc_eco_switch,dc_i_c,dc_i_p_total,dc_i_v,dc_o_p_total,dc_o_switch,g_i_e_total,g_i_f,g_i_p_total,g_i_switch,g_o_e_total,g_o_switch,pv_1_i_c,pv_1_i_p,pv_1_i_v,pv_2_i_c,pv_2_i_p,pv_2_i_v,pv_3_i_c,pv_3_i_p,pv_3_i_v,pv_4_i_c,pv_4_i_p,pv_4_i_v,pv_5_i_c,pv_5_i_p,pv_5_i_v,pv_ac_e,pv_ac_p,pv_i_e_total,pv_i_p_total
AC2A,2,bt,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,
AC2P,2,bt,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,
AC50B,2,bt,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
AC60,2,bt,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
AC60P,2,bt,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
AC70,2,bt,,,1,,,,,,,1,1,1,1,,1,,,,,,,1,,1,,1,1,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,1,,,,,,1,,,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
AC70P,2,bt,,,1,,,,,,,,,1,1,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
AC180,2,bt,,,1,,,,,,,1,1,1,1,,1,,,,,,,1,,1,,1,1,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,1,,,,,,1,,,,,,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
AC180P,2,bt,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
AC180T,2,bt,,,1,,,,,,,,,1,1,,1,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
AC200L,1,bt,,,1,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,1,,,,,,,,,1,1,1,,,,,,,,,1,,,,,1,,,,,1,1,,,,1,1,,,,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,
AC200M,1,bt,,,1,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,
